cond,met,mean,sd
WT-Ace_I,g6p,0.69801362155168,0.031288193107497
WT-Ace_I,f6p,0.378974904884046,0.0429209400629505
WT-Ace_I,fdp,0.148967089931025,0.0060110089739953
WT-Ace_I,dhap,0.519391294052962,0.0179231439046857
WT-Ace_I,13dpg,0.0110691898455658,0.0020990356118661
WT-Ace_I,pep,0.38708167984701,0.0109545470747889
WT-Ace_I,6pgc,0.147050449642969,0.014229740675294
WT-Ace_I,ru5p__D,0.0937156637803725,0.0090865432392161
WT-Ace_I,r5p,0.0558181155764863,0.009139932497461
WT-Ace_I,xu5p__D,0.0473211738679426,0.003364920148824
WT-Ace_I,s7p,0.0699031403510639,0.0067170144557156
WT-Ace_I,icit,2.0806228258935,0.0314862157217143
WT-Ace_I,akg,0.231950721208565,0.0467850040243513
WT-Ace_I,succ,0.691136110260447,0.0342577926050627
WT-Ace_I,fum,0.561992618666305,0.0416321353061871
WT-Ace_I,mal__L,2.91541724606061,0.420265678676435
WT-Ace_I,adp,0.612846404790059,0.0570193987954099
WT-Ace_I,atp,1.22229798333166,0.110566666659201
WT-Ace_I,gln__L,2.00429027160658,0.112905241376107
WT-Ace_I,glu__L,13.9235268778685,0.194958008295989
WT-Mann_I,g6p,0.693684101523003,0.0801668170588812
WT-Mann_I,f6p,0.837199093796745,0.120325249690762
WT-Mann_I,fdp,0.850888803811864,0.115263816186718
WT-Mann_I,dhap,0.832298860993306,0.021792602401343
WT-Mann_I,13dpg,0.0167607048825217,0.0041230902557249
WT-Mann_I,pep,0.18081057218115,0.0063976082015543
WT-Mann_I,6pgc,0.183807667547386,0.0385880751143362
WT-Mann_I,ru5p__D,0.154457030837844,0.0336931860911972
WT-Mann_I,r5p,0.0874675073191919,0.0055985917795011
WT-Mann_I,xu5p__D,0.0640977188869828,0.0056925412694843
WT-Mann_I,s7p,0.0976401137627377,0.006751767219788
WT-Mann_I,icit,0.335420206097328,0.01458399106248
WT-Mann_I,akg,0.233536972448711,0.0366472790157325
WT-Mann_I,succ,0.384518462148592,0.0154392575576209
WT-Mann_I,fum,0.141815784623694,0.0286822837637479
WT-Mann_I,mal__L,0.811247139680356,0.0352521221403542
WT-Mann_I,adp,0.625898257709562,0.100512480705249
WT-Mann_I,atp,1.27151618712992,0.191371932895958
WT-Mann_I,gln__L,1.81167472677259,0.0544651713000072
WT-Mann_I,glu__L,22.8149879914076,0.670232884370852
WT-Pyr_I,g6p,0.555322153507284,0.0362538143998654
WT-Pyr_I,f6p,0.289305718936172,0.0300501956543749
WT-Pyr_I,fdp,0.0327161294326945,0.0029217042753967
WT-Pyr_I,dhap,0.214899651056523,0.0245089983631266
WT-Pyr_I,13dpg,0.009479542898168,0.0008866887108401
WT-Pyr_I,pep,0.319549785421191,0.0082865736114621
WT-Pyr_I,6pgc,0.0864005363975933,0.009520391344634
WT-Pyr_I,ru5p__D,0.0280173238846131,0.0042884770302956
WT-Pyr_I,r5p,0.018162352760585,0.0012905432874152
WT-Pyr_I,xu5p__D,0.008851829094682,0.0009951341637164
WT-Pyr_I,s7p,0.0436059207233214,0.0039917536601377
WT-Pyr_I,icit,0.58530315009079,0.0259471596787303
WT-Pyr_I,akg,0.594094051843794,0.197711913611861
WT-Pyr_I,succ,0.484107853654179,0.0131412552697893
WT-Pyr_I,fum,1.10561650822899,0.487181013141292
WT-Pyr_I,mal__L,1.35000852466454,0.12694156648444
WT-Pyr_I,adp,0.536706557185374,0.0272186771118186
WT-Pyr_I,atp,1.069302918494,0.0468105552113061
WT-Pyr_I,gln__L,2.64743408252887,0.0623609779546764
WT-Pyr_I,glu__L,33.6033205611159,0.401776135470972
WT-Glyc_I,g6p,0.47844292684608,0.0687714048350324
WT-Glyc_I,f6p,0.278972272769971,0.0137041101240949
WT-Glyc_I,fdp,1.49063038246276,0.0541005394794785
WT-Glyc_I,dhap,2.31193368922591,0.0748607026674468
WT-Glyc_I,13dpg,0.0445887333698931,0.0133027193552867
WT-Glyc_I,pep,0.226835663973867,0.0096888757817138
WT-Glyc_I,6pgc,0.0944561228906324,0.0164744636717119
WT-Glyc_I,ru5p__D,0.114107376437588,0.0135508285819459
WT-Glyc_I,r5p,0.0600803344655397,0.002765287286461
WT-Glyc_I,xu5p__D,0.0393675254003996,0.0053585339745051
WT-Glyc_I,s7p,0.0255994085042603,0.0036449241664117
WT-Glyc_I,icit,0.519418593387536,0.0090650578906439
WT-Glyc_I,akg,0.308428873582938,0.022246806433758
WT-Glyc_I,succ,0.525734129676598,0.0230088517921819
WT-Glyc_I,fum,0.261186151605581,0.0230624920949966
WT-Glyc_I,mal__L,1.43520034725704,0.0355466996903536
WT-Glyc_I,adp,0.586500182803898,0.0594692154910935
WT-Glyc_I,atp,1.09904759745906,0.123626326866935
WT-Glyc_I,gln__L,2.3866205604616,0.101300674998924
WT-Glyc_I,glu__L,26.5242350296254,0.748941648703152
WT-Fruc_I,g6p,0.352011386693046,0.0394161299564886
WT-Fruc_I,f6p,0.358965603152836,0.0256470029145345
WT-Fruc_I,fdp,1.10273531689781,0.156430702779649
WT-Fruc_I,dhap,0.96970456169429,0.115260964619818
WT-Fruc_I,13dpg,0.0238098624563607,0.0095280489264101
WT-Fruc_I,pep,0.0836860419432644,0.008611397661133
WT-Fruc_I,6pgc,0.110332417340117,0.0137377262115429
WT-Fruc_I,ru5p__D,0.0887058832899843,0.0169720511049108
WT-Fruc_I,r5p,0.0506850290279286,0.0028208187084071
WT-Fruc_I,xu5p__D,0.0348329009226111,0.0038411690203099
WT-Fruc_I,s7p,0.0211890019986648,0.002345240790372
WT-Fruc_I,icit,0.734228731642449,0.0197433599835561
WT-Fruc_I,akg,0.343991801905068,0.0810228105190711
WT-Fruc_I,succ,0.825923092801819,0.0392204687048362
WT-Fruc_I,fum,0.436030126236332,0.0516983210118187
WT-Fruc_I,mal__L,1.9657589781867,0.0455495988755756
WT-Fruc_I,adp,0.682219113129929,0.0891273550249511
WT-Fruc_I,atp,1.29391956518262,0.150079860425473
WT-Fruc_I,gln__L,2.14536174432368,0.165664435924919
WT-Fruc_I,glu__L,25.8392986302263,1.59796728797429
WT-Succ_I,g6p,1.09688713785238,0.0921529511344036
WT-Succ_I,f6p,0.600077314492002,0.0416059885185263
WT-Succ_I,fdp,0.195936400710403,0.0304767940848295
WT-Succ_I,dhap,0.625640634093312,0.0462597289440072
WT-Succ_I,13dpg,0.0153920864254947,0.0040734430271862
WT-Succ_I,pep,0.749048570529925,0.0647668654263736
WT-Succ_I,6pgc,0.157719034384551,0.025994016188739
WT-Succ_I,ru5p__D,0.123579106705464,0.0138480373873249
WT-Succ_I,r5p,0.073619045287437,0.0079223891491056
WT-Succ_I,xu5p__D,0.0564629614084659,0.0053709302430074
WT-Succ_I,s7p,0.099848694289041,0.0112864637580195
WT-Succ_I,icit,0.471723300183595,0.0086255330868919
WT-Succ_I,akg,0.545848758756272,0.162741024431432
WT-Succ_I,mal__L,10.3944356093923,0.770843274078533
WT-Succ_I,adp,0.57334580536983,0.186479353361336
WT-Succ_I,atp,1.16433040714143,0.310024453041961
WT-Succ_I,gln__L,3.18015077702586,0.130110892165258
WT-Succ_I,glu__L,35.1801272018321,1.87937637712271
WT-Glc_I,g6p,0.987271169140147,0.0592719144293399
WT-Glc_I,f6p,0.318468149868337,0.0090450878975637
WT-Glc_I,fdp,1.37964343816923,0.0706237594065101
WT-Glc_I,dhap,0.92814629857928,0.0411759658590129
WT-Glc_I,13dpg,0.0148249700302745,0.0013591564787931
WT-Glc_I,pep,0.0485026831041718,0.005383808123975
WT-Glc_I,6pgc,0.384485263769337,0.0325673162437869
WT-Glc_I,ru5p__D,0.343574697871368,0.0348649226409712
WT-Glc_I,r5p,0.19278660038775,0.010430819176364
WT-Glc_I,xu5p__D,0.158229531845212,0.0106927364142967
WT-Glc_I,s7p,0.0917590622253122,0.0066185821337096
WT-Glc_I,icit,0.50663954896407,0.0207113697287762
WT-Glc_I,akg,0.263385823049029,0.0154096442091784
WT-Glc_I,succ,0.627871765909054,0.0432748192452587
WT-Glc_I,fum,0.459441373529458,0.0355711673039267
WT-Glc_I,mal__L,2.15216911140495,0.063030970309748
WT-Glc_I,adp,0.67357073142079,0.0358013478487649
WT-Glc_I,atp,1.31138407332853,0.0913364573346504
WT-Glc_I,gln__L,1.84508168680467,0.0732066143043561
WT-Glc_I,glu__L,16.8397790087244,0.906339787587851
